branch,maven_release,class,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,NPM
v3.0,3.0-SNAPSHOT,org.tinylog.path.ProcessIdSegment,4,1,0,3,8,0,1,3
v2.0,2.0.1,org.tinylog.path.Segment,3,1,0,1,3,3,5,3
v2.8,2.8.0-M1,org.tinylog.path.Segment,3,1,0,1,3,3,6,3
v3.0,3.0-SNAPSHOT,org.tinylog.path.Segment,3,1,0,1,3,3,6,3
v2.8,2.8.0-M1,org.tinylog.path.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.path.package-info,0,1,0,0,0,0,0,0
v2.0,2.0.1,org.tinylog.pattern.BundleToken,4,1,0,2,15,0,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.BundleToken,4,1,0,2,13,0,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.BundleToken,4,1,0,2,13,0,1,3
v2.0,2.0.1,org.tinylog.pattern.DateToken,6,1,0,7,16,0,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.DateToken,6,1,0,7,16,0,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.DateToken,6,1,0,7,16,0,1,3
v2.0,2.0.1,org.tinylog.pattern.ExceptionToken,6,1,0,3,20,13,2,3
v2.8,2.8.0-M1,org.tinylog.pattern.ExceptionToken,7,1,0,6,30,17,2,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.ExceptionToken,7,1,0,6,30,17,2,3
v2.0,2.0.1,org.tinylog.pattern.FileNameToken,4,1,0,3,9,6,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.FileNameToken,4,1,0,3,9,6,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.FileNameToken,4,1,0,3,9,6,1,3
v2.0,2.0.1,org.tinylog.pattern.FormatPatternParser,9,1,0,24,55,34,3,1
v2.8,2.8.0-M1,org.tinylog.pattern.FormatPatternParser,9,1,0,29,64,32,4,2
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.FormatPatternParser,9,1,0,30,63,32,3,2
v2.0,2.0.1,org.tinylog.pattern.FullClassNameToken,4,1,0,3,9,6,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.FullClassNameToken,4,1,0,3,9,6,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.FullClassNameToken,4,1,0,3,9,6,1,3
v2.0,2.0.1,org.tinylog.pattern.IndentationToken,5,1,0,2,20,2,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.IndentationToken,5,1,0,2,20,2,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.IndentationToken,5,1,0,2,20,2,1,3
v2.0,2.0.1,org.tinylog.pattern.LineNumberToken,4,1,0,3,11,6,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.LineNumberToken,4,1,0,3,11,6,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.LineNumberToken,4,1,0,3,11,6,1,3
v2.0,2.0.1,org.tinylog.pattern.LoggerTagToken,5,1,0,3,10,0,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.LoggerTagToken,5,1,0,3,11,0,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.LoggerTagToken,5,1,0,3,11,0,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.MaximumSizeToken,4,1,0,2,12,0,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.MaximumSizeToken,4,1,0,2,12,0,1,3
v2.0,2.0.1,org.tinylog.pattern.MessageAndExceptionToken,4,1,0,5,16,4,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.MessageAndExceptionToken,4,1,0,5,16,4,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.MessageAndExceptionToken,4,1,0,5,16,4,1,3
v2.0,2.0.1,org.tinylog.pattern.MessageToken,5,1,0,3,14,8,2,3
v2.8,2.8.0-M1,org.tinylog.pattern.MessageToken,5,1,0,3,16,8,2,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.MessageToken,5,1,0,3,16,8,2,3
v2.0,2.0.1,org.tinylog.pattern.MethodNameToken,4,1,0,3,9,6,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.MethodNameToken,4,1,0,3,9,6,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.MethodNameToken,4,1,0,3,9,6,1,3
v2.0,2.0.1,org.tinylog.pattern.MinimumSizeToken,4,1,0,2,12,0,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.MinimumSizeToken,4,1,0,2,12,0,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.MinimumSizeToken,4,1,0,2,12,0,1,3
v2.0,2.0.1,org.tinylog.pattern.PackageNameToken,5,1,0,3,12,10,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.PackageNameToken,5,1,0,3,12,10,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.PackageNameToken,5,1,0,3,12,10,1,3
